node,parameter,source_default,yaml_value,launch_override,runtime_value,source_line,status
motion_arbiter,mavlink,udpin:0.0.0.0:14540,udpin:0.0.0.0:14540,None,udpin:0.0.0.0:14540,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:61,MATCH_1_TO_1
motion_arbiter,auto_takeoff,True,True,None,True,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:62,MATCH_1_TO_1
motion_arbiter,takeoff_alt,3.8,3.8,takeoff_alt (launch arg),3.8,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:63,MATCH_1_TO_1
motion_arbiter,kp,0.007,0.007,None,0.007,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:64,MATCH_1_TO_1
motion_arbiter,max_rate,1.5,1.5,None,1.5,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:68,MATCH_1_TO_1
motion_arbiter,search_rate,1.1,1.1,None,1.1,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:69,MATCH_1_TO_1
motion_arbiter,lost_timeout,5.0,5.0,None,5.0,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:70,MATCH_1_TO_1
motion_arbiter,vision_fresh_timeout,0.4,0.4,None,0.4,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:74,MATCH_1_TO_1
motion_arbiter,enable_forward,True,True,None,True,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:75,MATCH_1_TO_1
motion_arbiter,default_walk_speed,1.15,1.15,None,1.15,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:76,MATCH_1_TO_1
motion_arbiter,default_backup_speed,1.1,1.1,None,1.1,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:77,MATCH_1_TO_1
motion_arbiter,kp_y_boost,0.005,0.005,None,0.005,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:78,MATCH_1_TO_1
motion_arbiter,kp_lateral,0.0035,0.0035,None,0.0035,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:79,MATCH_1_TO_1
motion_arbiter,deadband_x,25.0,25.0,None,25.0,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:80,MATCH_1_TO_1
motion_arbiter,deadband_y,30.0,30.0,None,30.0,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:81,MATCH_1_TO_1
motion_arbiter,max_forward_speed,1.8,1.8,None,1.8,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:82,MATCH_1_TO_1
motion_arbiter,min_forward_speed,-1.5,-1.5,None,-1.5,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:83,MATCH_1_TO_1
motion_arbiter,tree_clearance_margin,1.8,1.8,None,1.8,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:84,MATCH_1_TO_1
motion_arbiter,teleop_timeout,0.5,0.5,None,0.5,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:85,MATCH_1_TO_1
motion_arbiter,goto_altitude,3.8,3.8,None,3.8,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:86,MATCH_1_TO_1
motion_arbiter,bottom_backup_timeout,1.4,1.4,None,1.4,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:90,MATCH_1_TO_1
motion_arbiter,bottom_recovery_timeout,2.5,2.5,None,2.5,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:91,MATCH_1_TO_1
motion_arbiter,turn_point_timeout,3.2,3.2,None,3.2,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:95,MATCH_1_TO_1
motion_arbiter,turn_point_speed,1.15,1.15,None,1.15,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:96,MATCH_1_TO_1
motion_arbiter,target_area_min,6000.0,6000.0,None,6000.0,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:97,MATCH_1_TO_1
motion_arbiter,target_area_max,13000.0,13000.0,None,13000.0,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:98,MATCH_1_TO_1
motion_arbiter,kp_area,0.00015,0.00015,None,0.00015,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:99,MATCH_1_TO_1
motion_arbiter,control_period_s,0.1,0.1,None,0.1,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:100,MATCH_1_TO_1
motion_arbiter,control_warn_period_s,0.2,0.2,None,0.2,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:101,MATCH_1_TO_1
motion_arbiter,control_fail_period_s,0.5,0.5,None,0.5,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:102,MATCH_1_TO_1
motion_arbiter,health_publish_period_s,0.5,0.5,None,0.5,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:103,MATCH_1_TO_1
motion_arbiter,mavlink_stale_timeout_s,2.0,2.0,None,2.0,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:104,MATCH_1_TO_1
motion_arbiter,kp_z,1.2,1.2,None,1.2,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:105,MATCH_1_TO_1
motion_arbiter,max_z_speed,0.8,0.8,None,0.8,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:106,MATCH_1_TO_1
motion_arbiter,auto_track,False,False,None,False,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:107,MATCH_1_TO_1
motion_arbiter,wait_for_vision_before_takeoff,True,True,None,True,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:108,MATCH_1_TO_1
motion_arbiter,diagnostic_log,_find_default_diag_log(),logs/tracking_diagnostics.jsonl,None,logs/tracking_diagnostics.jsonl,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py:121,MATCH_1_TO_1
yolo_detector_node,image_topic,/camera/image_raw,/camera/image_raw,use_realism -> /simulation/camera/image,/camera/image_raw,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:34,MATCH_1_TO_1
yolo_detector_node,error_topic,/tracking/error,/tracking/error,None,/tracking/error,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:35,MATCH_1_TO_1
yolo_detector_node,debug_image_topic,/tracking/debug_image,/tracking/debug_image,None,/tracking/debug_image,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:36,MATCH_1_TO_1
yolo_detector_node,model_path,yolov8n.pt,yolov8n.pt,None,yolov8n.pt,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:37,MATCH_1_TO_1
yolo_detector_node,tracker,bytetrack.yaml,bytetrack.yaml,None,bytetrack.yaml,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:38,MATCH_1_TO_1
yolo_detector_node,device,cpu,cpu,yolo_device (launch arg),cpu,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:39,MATCH_1_TO_1
yolo_detector_node,img_width,416,416,None,416,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:40,MATCH_1_TO_1
yolo_detector_node,img_height,416,416,None,416,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:41,MATCH_1_TO_1
yolo_detector_node,infer_native,True,True,None,True,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py:42,MATCH_1_TO_1
