claim,source_file,source_line,log_file,log_timestamp,metric,observed_value,expected_value,classification,confidence,notes
Gazebo Harmonic ruby child process orphaned under /init consuming 10-26% CPU,start_stack.sh,72-81,system ps/dmesg,2026-09-12T01:30:00Z,ruby process CPU utilization,10-26% CPU continuously on PID 22949,0% (terminated with gz sim wrapper),CONFIRMED,100%,Verified by pstree lineage: ruby /usr/bin/gz sim -s re-parented to init (PID 1) when GZ_PID was killed without child kill.
PX4 SITL pxh.cpp getchar() busy loop floods log to 217 MB and pins 1 CPU core at 100%,PX4-Autopilot/platforms/posix/src/px4/common/px4_daemon/pxh.cpp,312-411,/tmp/px4_sim.log,2026-09-12T01:15:45Z,PX4 log file size & CPU usage,"217 MB in 45s, 100% 1 core CPU","< 50 KB, < 5% CPU idle SITL",CONFIRMED,100%,"Verified at source level: case EOF does not break while (!_should_exit) loop and leaves update_prompt=true, printing prompt in infinite unthrottled loop."
Concurrent launch starts takeoff at t=1s before YOLO finishes CUDA initialization,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py,514-529,/tmp/ros_tracking_stack.log,2026-09-12T01:15:05Z,Time to first /tracking/error vs takeoff arming,Arbiter armed at t=1.0s while YOLO needed 4.8s for PyTorch CUDA init,Takeoff waits for perception pipeline readiness,CONFIRMED,95%,"Fixed via wait_for_vision_before_takeoff. Note: current check is publisher-presence readiness, not verified data stream gate."
Manual teleop fights with YOLO auto-lock causing 14 state flips in 4s,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py,464-483,logs/tracking_diagnostics.jsonl,2026-09-12T01:15:28Z,State flips MANUAL <-> TRACKING during teleop injection,14 state flips in 4.0s (bouncing every 100-200ms),0 conflict flips (MANUAL overrides until teleop release),CONFIRMED,100%,_reacquire_lock published /tracking/select_target while operator pressed teleop. Fixed by motion_state subscription & manual authority lock.
YOLO publishes error in 416x416 coordinate space scaling bounding box area by 0.5633,ros2_ws/src/vision_tracking/vision_tracking/yolo_detector_node.py,"197-198, 486-496",logs/tracking_diagnostics_trial_5.jsonl,2026-09-11T19:44:10Z,Bbox area scale factor (Point.z / native_area),"sx=0.6500, sy=0.8667 -> area scale = 0.5633",Published in 416x416 coordinate space (contract),CONFIRMED,100%,"Native 640x480 frame is inferred with imgsz=640 (infer_native=True), then projected to 416x416 output coordinate space in publish_error."
Small-box response sluggishness is caused by hard velocity clamp vx <= 0.25 m/s,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py,1274-1275,logs/raw_trial_5_aggressive_close_in.csv,2026-09-11T19:44:15Z,Percentage of ADVANCING_CLOSE_IN samples clamped to 0.25 m/s,92.46% (233 / 252 samples) at exactly vx = 0.2500 m/s,Dynamic pursuit speed up to default_walk_speed (1.15 m/s),CONFIRMED,100%,"Command Saturation, NOT temporal latency. Target walks at 1.11 m/s; drone is clamped to 0.25 m/s, causing geometric lag."
ROS 2 Humble middleware transport delay is the primary root cause of sluggishness,ros2_ws/src/vision_tracking/vision_tracking/motion_arbiter_node.py,1175,logs/tracking_diagnostics.jsonl,2026-09-12T02:45:00Z,Vision age and control period in nominal conditions,"Mean vision age = 0.112s (dominated by camera 15 FPS), ROS IPC < 2ms",< 0.005s middleware transport overhead,REJECTED,95%,"ROS 2 intra-process / localhost DDS IPC overhead is negligible (< 2ms); slowness was caused by CPU spin, un-readiness, and velocity saturation."
WSL2 DirectX GPU VMBus hang caused context contention between Gazebo and PyTorch,dmesg,kernel ring buffer,dmesg,2026-09-12T01:20:10Z,DirectX sync message timeout,dxgvmb_send_sync_msg: wait_for_completion failed: fffffe00,Smooth host-guest GPU scheduling,PROBABLE,70%,"Unisolated finding: Software rendering for headless Gazebo avoids D3D12 vGPU hang, but shifts load to CPU. Hardware vs software rendering was not isolated across trials."
Total ROS 2 parameter count across stack is 86 (37 MA + 24 YOLO + 5 HUD + 20 Realism),ros2_ws/src/vision_tracking/vision_tracking/*.py,AST declare_parameter scan,PARAMETER_TRUTH_TABLE.csv,2026-09-12T02:50:00Z,Declared parameter count vs YAML keys,"86 declared in source, 86 in tracking_stack.yaml (exact 1:1 match)",86 (resolved from 66 vs 85 discrepancy),CONFIRMED,100%,Previous 66 count omitted 5 YOLO params and 17 Realism params (which used d alias). True count is 86 with wait_for_vision_before_takeoff.
SITL flight safety validation proves absolute real-flight safety,logs/multi_trial_summary.json,summary_metrics,logs/multi_trial_summary.json,2026-09-12T01:58:28Z,Real-world flight validation,Validated only in Gazebo Harmonic SITL under simplified physics,Real-flight validation with safety pilot and physical quadcopter,REJECTED,100%,"SITL pass status does NOT establish real-flight safety. Real vehicle requires field validation, physical wind, true optical flow, and COM_OF_LOSS_T <= 1.0s."
